type_hotel,location,rating,reviewer,distance,type_bed,area,price
44,hotel,"
30A Cua Dong, Hoan Kiem, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","8,6", · 110 đánh giá,"
1,8 km
","
1 giường đôi cực lớn

",20 m²,"
VND 1.280.000
"
45,hotel,"
30A Cua Dong, Hoan Kiem, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","8,6", · 110 đánh giá,"
1,8 km
","
1 giường đôi cực lớn

",25 m²,"
VND 1.520.000
"
46,hotel,"
30A Cua Dong, Hoan Kiem, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","8,6", · 110 đánh giá,"
1,8 km
","
1 giường đôi cực lớn

",30 m²,"
VND 1.600.000
"
47,hotel,"
30A Cua Dong, Hoan Kiem, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","8,6", · 110 đánh giá,"
1,8 km
","
1 giường đôi

",35 m²,"
VND 2.400.000
"
48,hotel,"
30A Cua Dong, Hoan Kiem, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","8,6", · 110 đánh giá,"
1,8 km
","
1 giường đôi cực lớn

",35 m²,"
VND 2.560.000
"
49,hotel,"
32 Lo Su Street, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","9,3", · 207 đánh giá,"
2,3 km
","
2 giường đôi lớn

",27 m²,"
VND 3.290.000
"
50,hotel,"
32 Lo Su Street, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","9,3", · 207 đánh giá,"
2,3 km
","
1 giường đôi lớn

",32 m²,"
VND 2.632.000
"
51,hotel,"
32 Lo Su Street, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","9,3", · 207 đánh giá,"
2,3 km
","
2 giường đơn

",40 m²,"
VND 3.850.000
"
52,hotel,"
32 Lo Su Street, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","9,3", · 207 đánh giá,"
2,3 km
","
2 giường đơn

",37 m²,"
VND 3.157.000
"
53,hotel,"
11 Hang Dau, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","8,8", · 544 đánh giá,0,"
1 giường đôi lớn

",18 m²,"
VND 1.274.783
"
54,hotel,"
11 Hang Dau, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","8,8", · 544 đánh giá,0,"
2 giường đơn

",30 m²,"
VND 6.748.846
"
55,hotel,"
11 Hang Dau, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","8,8", · 544 đánh giá,0,"
1 giường đôi cực lớn

",30 m²,"
VND 1.903.197
"
56,hotel,"
11 Hang Dau, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","8,8", · 544 đánh giá,0,"
1 giường đơn

",30 m²,"
VND 10.075.748
"
57,hotel,"
60 Cầu Gỗ, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","9,2", · 194 đánh giá,"
2,7 km
","
1 giường đôi lớn

",22 m²,"
VND 1.470.600
"
58,hotel,"
60 Cầu Gỗ, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","9,2", · 194 đánh giá,"
2,7 km
","
2 giường đơn

",22 m²,"
VND 1.539.000
"
59,hotel,"
60 Cầu Gỗ, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","9,2", · 194 đánh giá,"
2,7 km
","
1 giường đơn

",28 m²,"
VND 1.881.000
"
60,hotel,"
60 Cầu Gỗ, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","9,2", · 194 đánh giá,"
2,7 km
","
1 giường đôi

",24 m²,"
VND 2.052.000
"
61,hotel,"
60 Cầu Gỗ, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","9,2", · 194 đánh giá,"
2,7 km
","
1 giường đôi lớn

",26 m²,"
VND 2.223.000
"
